Index,Valor ADC
0,1982
1,1980
2,1987
3,1990
4,1988
5,1982
6,1981
7,1979
8,1979
9,1977
10,1973
11,1977
12,1961
13,1952
14,1954
15,1957
16,1968
17,1998
18,2006
19,2027
20,2043
21,2054
22,2067
23,2074
24,2082
25,2096
26,2101
27,2109
28,2111
29,2119
30,2119
31,2128
32,2130
33,2132
34,2139
35,2133
36,2131
37,2137
38,2142
39,2144
40,2141
41,2127
42,2137
43,2131
44,2132
45,2128
46,2119
47,2127
48,2116
49,2110
50,2108
51,2096
52,2096
53,2091
54,2083
55,2087
56,2065
57,2064
58,2059
59,2047
60,2042
61,2033
62,2029
63,2015
64,2010
65,2007
66,1999
67,1988
68,1991
69,1984
70,1983
71,1981
72,1974
73,1970
74,1968
75,1969
76,1962
77,1959
78,1953
79,1954
80,1949
81,1949
82,1956
83,1989
84,2026
85,2067
86,2102
87,2131
88,2165
89,2192
90,2231
91,2258
92,2282
93,2314
94,2321
95,2343
96,2355
97,2365
98,2378
99,2386
100,2395
101,2411
102,2419
103,2422
104,2418
105,2417
106,2417
107,2415
108,2416
109,2411
110,2407
111,2413
112,2395
113,2387
114,2384
115,2368
116,2352
117,2345
118,2335
119,2320
120,2319
121,2294
122,2291
123,2279
124,2262
125,2243
126,2233
127,2221
128,2197
129,2180
130,2167
131,2160
132,2143
133,2128
134,2112
135,2096
136,2080
137,2069
138,2054
139,2043
140,2032
141,2015
142,2000
143,1994
144,1983
145,1969
146,1956
147,1950
148,1936
149,1927
150,1925
151,1921
152,1910
153,1903
154,1892
155,1887
156,1878
157,1872
158,1869
159,1866
160,1861
161,1866
162,1859
163,1851
164,1854
165,1853
166,1853
167,1845
168,1843
169,1846
170,1851
171,1842
172,1852
173,1855
174,1853
175,1862
176,1868
177,1872
178,1873
179,1879
180,1879
181,1901
182,1897
183,1903
184,1911
185,1923
186,1943
187,1957
188,1963
189,1983
190,1991
191,2005
192,2009
193,2005
194,2026
195,2053
196,2073
197,2097
198,2118
199,2144
200,2165
201,2180
202,2199
203,2242
204,2258
205,2286
206,2307
207,2329
208,2351
209,2364
210,2387
211,2392
212,2405
213,2407
214,2419
215,2421
216,2427
217,2426
218,2425
219,2432
220,2427
221,2422
222,2421
223,2416
224,2410
225,2405
226,2384
227,2384
228,2371
229,2360
230,2346
231,2339
232,2326
233,2316
234,2303
235,2280
236,2274
237,2262
238,2245
239,2224
240,2214
241,2195
