Index,Valor ADC
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,111
11,192
12,279
13,374
14,461
15,560
16,650
17,737
18,823
19,906
20,982
21,1072
22,1150
23,1233
24,1317
25,1394
26,1475
27,1552
28,1630
29,1697
30,1769
31,1837
32,1903
33,1963
34,2023
35,2081
36,2131
37,2186
38,2237
39,2277
40,2320
41,2355
42,2397
43,2429
44,2467
45,2493
46,2527
47,2555
48,2594
49,2621
50,2650
51,2679
52,2693
53,2723
54,2743
55,2763
56,2779
57,2781
58,2806
59,2810
60,2814
61,2822
62,2821
63,2812
64,2807
65,2798
66,2786
67,2773
68,2752
69,2732
70,2710
71,2690
72,2657
73,2634
74,2607
75,2559
76,2537
77,2501
78,2471
79,2444
80,2411
81,2380
82,2343
83,2314
84,2284
85,2256
86,2224
87,2194
88,2167
89,2147
90,2123
91,2095
92,2067
93,2037
94,2018
95,1995
96,1975
97,1961
98,1941
99,1927
100,1914
101,1904
102,1904
103,1897
104,1892
105,1887
106,1888
107,1886
108,1898
109,1906
110,1917
111,1936
112,1945
113,1968
114,1982
115,1999
116,2013
117,2033
118,2059
119,2086
120,2109
121,2142
122,2192
123,2226
124,2253
125,2273
126,2289
127,2299
128,2303
129,2305
130,2313
131,2304
132,2309
133,2302
134,2290
135,2282
136,2278
137,2270
138,2256
139,2245
140,2239
141,2233
142,2221
143,2203
144,2198
145,2187
146,2173
147,2160
148,2150
149,2139
150,2128
151,2114
152,2106
153,2103
154,2090
155,2085
156,2073
157,2064
158,2064
159,2062
160,2058
161,2045
162,2043
163,2036
164,2037
165,2032
166,2035
167,2044
168,2041
169,2042
170,2044
171,2055
172,2047
173,2057
174,2055
175,2064
176,2074
177,2081
178,2091
179,2096
180,2102
181,2114
182,2126
183,2139
184,2153
185,2165
186,2181
187,2192
188,2205
189,2224
190,2235
191,2250
192,2258
193,2285
194,2289
195,2309
196,2320
197,2330
198,2345
199,2361
200,2379
201,2382
202,2389
203,2401
204,2417
205,2423
206,2430
207,2435
208,2439
209,2449
210,2459
211,2455
212,2458
213,2464
214,2460
215,2465
216,2462
217,2465
218,2469
219,2464
220,2463
221,2456
222,2451
223,2449
224,2437
225,2435
226,2429
227,2416
228,2416
229,2402
230,2401
231,2384
232,2375
233,2368
234,2352
235,2332
236,2319
237,2300
238,2286
239,2259
240,2241
241,2224
242,2198
243,2178
244,2155
245,2137
246,2112
247,2096
248,2072
249,2055
250,2031
251,2007
252,1983
253,1967
254,1937
255,1919
256,1901
257,1877
258,1859
259,1831
260,1815
261,1794
262,1771
263,1750
264,1732
265,1712
266,1664
267,1600
268,1575
269,1559
270,1570
271,1568
272,1584
273,1601
274,1625
275,1650
276,1670
277,1702
278,1721
279,1746
280,1771
281,1792
282,1815
283,1829
284,1857
285,1866
286,1878
287,1902
288,1915
289,1927
290,1945
291,1962
292,1969
293,1978
294,1989
295,2000
296,2003
297,2018
298,2029
299,2037
300,2047
301,2063
302,2069
303,2078
304,2089
305,2101
306,2109
307,2118
308,2126
309,2134
310,2135
311,2149
312,2159
313,2167
314,2186
315,2193
316,2207
317,2224
318,2231
319,2240
320,2253
321,2271
322,2282
323,2297
324,2311
325,2325
326,2336
327,2348
328,2363
329,2381
330,2395
331,2409
332,2419
333,2433
334,2447
335,2456
336,2468
337,2481
338,2491
339,2498
340,2511
341,2515
342,2525
343,2531
344,2540
345,2544
346,2555
347,2555
348,2553
349,2559
350,2559
351,2559
352,2559
353,2559
354,2559
355,2581
356,2559
357,2559
358,2559
359,2558
360,2559
361,2554
362,2558
363,2550
364,2547
365,2537
366,2533
367,2515
368,2498
369,2501
370,2483
371,2474
372,2454
373,2441
374,2430
375,2415
376,2407
377,2395
378,2372
379,2366
380,2343
381,2335
382,2322
383,2309
384,2301
385,2292
386,2278
387,2270
388,2257
389,2247
390,2240
391,2227
392,2218
393,2204
394,2192
395,2192
396,2173
397,2175
398,2160
399,2157
400,2154
401,2149
402,2142
403,2143
404,2133
405,2135
406,2129
407,2130
408,2130
409,2128
410,2128
411,2127
412,2128
413,2128
414,2127
415,2127
416,2128
417,2125
418,2127
419,2127
420,2128
421,2129
422,2133
423,2128
424,2128
425,2128
426,2124
427,2126
428,2117
